title,link,press,date
MCN 기업 크리시아미디어  25억 원 투자 유치…글로벌 V커머스 시장 공략하나,http://www.etoday.co.kr/news/section/newsview.php?idxno=1822125,이투데이,2019-11-15
주스  카이스트청년창업투자지주 투자 유치    지속적인 기술 개발 예정,http://isplus.live.joins.com/news/article/aid.asp?aid=23227258,일간스포츠,2019-11-15
양승조 김홍장  충남 당진에 벨기에 식품첨가물업체 공장 투자유치,http://www.businesspost.co.kr/BP?command=article_view&num=151006,비즈니스포스트,2019-11-14
충남도  중국서 600만 달러 투자 유치… 당진에 내화물 생산공장 건립,http://www.chungnamilbo.com/news/articleView.html?idxno=520830,충남일보,2019-11-14
당진 송산외투지역에 7천만 달러 투자 유치,http://news.cjhello.com/news/newsView.do?soCode=SC91000000&idx=264843,CJ헬로,2019-11-14
충남도  그린바이오식품 세계 1위 업체  투자유치,http://www.cctoday.co.kr/news/articleView.html?idxno=2035059,충청투데이,2019-11-14
차량관리 앱 ‘마카롱’ 현대자동차 제로원으로부터 투자 유치,https://www.venturesquare.net/796008,벤처스퀘어,2019-11-14
‘예술분야 투자유치대회 대상’ 주스  실리콘밸리 투자유치 성공,http://www.edaily.co.kr/news/newspath.asp?newsid=02374726622685720,이데일리,2019-11-14
주금공  싱가포르 통화청서 포상금 수령…외국계기관 MBS 투자 유치 집중,https://www.asiatime.co.kr/news/newsview.php?ncode=1065577154007439,아시아타임즈,2019-11-14
동산담보 P2P ‘시소펀딩’ VC투자 유치,http://www.etnews.com/20191114000139,전자신문,2019-11-14
병원 정보 플랫폼 ‘착한의사’  11억 원 규모 프리 A라운드 투자 유치,https://www.sedaily.com/NewsView/1VQSMV5LBD,서울경제,2019-11-14
주스- 카이스트청년창업투자지주 투자 유치 성공,http://www.betanews.net:8080/article/1100770.html,베타뉴스,2019-11-14
일진머티리얼즈  말레이시아 법인 6000억원 투자유치   공장 증설 ,http://www.newspim.com/news/view/20191113000105,뉴스핌,2019-11-13
비건베이커리 ‘더브레드블루’  4억 규모 시드투자 유치,https://platum.kr/archives/131373,플래텀,2019-11-13
종합 콘텐츠 기업 코핀 커뮤니케이션즈  40억 규모 시리즈A 투자 유치,https://platum.kr/archives/131381,플래텀,2019-11-13
모바일 RPG 개발사 ‘엔퓨전’  시너지 IB투자와 빅뱅엔젤스로부터 투자 유치,https://platum.kr/archives/131385,플래텀,2019-11-13
일진머티리얼즈  말레이시아 공장에 6000억원 투자 유치…  일렉포일  생산 확대,http://biz.newdaily.co.kr/site/data/html/2019/11/13/2019111300006.html,뉴데일리,2019-11-13
충남도  7000만달러 해외투자 유치,http://www.siminilbo.co.kr/news/newsview.php?ncode=1065599764002975,시민일보,2019-11-13
인터브리드  15억 규모의 프리 시리즈 A 투자유치,http://www.newsworks.co.kr/news/articleView.html?idxno=410563,뉴스웍스,2019-11-13
블록체인 보안검증 알고리마  신한금융 등서 투자유치,http://www.edaily.co.kr/news/newspath.asp?newsid=02525606622685392,이데일리,2019-11-13
충남도  식품첨가물 분야 세계1위 기업 벨기에 베오스 투자유치,http://news1.kr/articles/?3767712,뉴스1,2019-11-13
현성바이탈  미국 LDJ캐피탈로부터 120억원 외국투자 유치 13일 공시,http://www.newsworks.co.kr/news/articleView.html?idxno=410776,뉴스웍스,2019-11-13
방치된 원주 군부지 120만㎡ 2조4 000억원 투자 유치로 개발,http://www.kwnews.co.kr/view.asp?aid=219111200082&s=501,강원일보언론사,2019-11-13
