date,title,predicted_label1,predicted_label2,link,press
2019-11-17,한동대 이정민 교수  선천성 희귀 신경 질환 샤르코 마리 투스병 치료제 개발,보건·의료용 기능성 소재,소프트 기계장치용 소재,http://www.dkilbo.com/news/articleView.html?idxno=197429,대경일보
2019-11-15,코스맥스그룹  서울대 교수진과 신소재 개발 나섰다,소프트 기계장치용 소재,이종접합 소재,http://www.paxetv.com/news/articleView.html?idxno=81566,팍스경제TV
2019-11-13,카이스트 이성주 교수  앱 시제품 제작 생산성 200배 향상 기술 개발,스마트 시계/밴드,레저·스포츠용 웨어러블 디바이스,http://www.boannews.com/media/view.asp?idx=84469&kind=,보안뉴스
2019-11-15,김상우 연세대 교수 연구팀  암세포 분석 정확도 높이는 검사법 개발,유전체분석(NGS) 플랫폼 비즈니스,생체신호 측정진단기기,http://news.unn.net/news/articleView.html?idxno=222068,한국대학신문
